koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,ra,dec,koi_kepmag,koi_kmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_period,koi_period_err1,koi_period_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_eccen,koi_sma,koi_insol,koi_insol_err1,koi_insol_err2,koi_teq,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0,koi_time0_err1,koi_time0_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_incl,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_max_mult_ev,koi_max_sngle_ev,koi_tce_plnt_num,koi_bin_oedp_sig,koi_ldm_coeff1,koi_ldm_coeff2,koi_ldm_coeff3,koi_ldm_coeff4,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sra_err,koi_fwm_sdec,koi_fwm_sdec_err,koi_fwm_srao,koi_fwm_srao_err,koi_fwm_sdeco,koi_fwm_sdeco_err,koi_fwm_prao,koi_fwm_prao_err,koi_fwm_pdeco,koi_fwm_pdeco_err,koi_dicco_mra,koi_dicco_mra_err,koi_dicco_mdec,koi_dicco_mdec_err,koi_dicco_msky,koi_dicco_msky_err,koi_dikco_mra,koi_dikco_mra_err,koi_dikco_mdec,koi_dikco_mdec_err,koi_dikco_msky,koi_dikco_msky_err,koi_disposition,k2_name,k2_hostname
6402.0,133.53,-125.16,3.16745,0.174094,-0.203167,1.28,0.272756,-0.136366,3.54386,0.107945,-0.081808,,,,181.5936878,-4.9467043,11.461,10.777,11.8357,,,,,,2.71189,0.00068,-0.00056,4.34,0.43,-0.35,,,,,,2336.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201164625.01,EPIC 201164625
6213.0,50.0,-50.0,1.224685,0.11631,-0.071545,,,,4.32,0.1,-0.1,0.14,0.08,-0.08,181.1211419,-4.8991358,10.971,9.591,10.7424,,,,,,18.10549,0.010083,-0.012897,2.09985108,0.30569846,-0.20056538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201166680.01,K2-243
3648.0,172.0,-143.0,0.282,0.074,-0.069,0.287,0.101,-0.084,4.999,0.075,-0.075,-0.048,0.15,-0.21,170.1408561,-4.8070039,17.6984,12.619,16.4386,,,,,,6.7987,0.0001,-0.0001,1.047,0.276,-0.257,0.0,0.0349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CONFIRMED,EPIC 201170410.02,EPIC 201170410
4542.0,130.0,-130.0,0.508,0.098,-0.098,,,,4.747,0.097,-0.097,,,,169.1498727,-4.6564416,14.258,11.604,13.9651,,,,,,79.9999,0.0098,-0.0098,10.2,2.1,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201176672.01,EPIC 201176672
,,,0.707,0.05,-0.05,,,,,,,,,,169.1498727,-4.6564416,14.258,11.604,13.9651,,,,,,,,,30.0,8.3,-10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201176672.02,EPIC 201176672
5847.0,82.63,-157.44,1.25428,0.066004,-0.055051,1.06,0.116397,-0.152212,4.26659,0.079353,-0.076592,,,,184.1697015,-4.5603949,13.327,11.65,13.0873,,,,,,17.77297,9e-05,-9e-05,26.44,0.65,-0.65,,,,,,830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201180665.01,EPIC 201180665
3727.0,,,0.5,,,,,,,,,,,,172.7104166,-4.5075924,16.226,12.335,15.4518,,,,,,0.99656225,,,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201182911.01,EPIC 201182911
4224.0,,,0.65,,,,,,,,,,,,177.0948891,-4.1644059,15.537,12.424,15.0437,,,,,,14.912381,,,3.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201197348.01,EPIC 201197348
,,,0.647,0.038,-0.024,,,,,,,,,,177.0948891,-4.1644059,15.537,12.424,15.0437,,,,,,14.9139,0.0018,-0.002,3.24,0.33,-0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201197348.01,EPIC 201197348
3570.0,,,0.43,,,,,,,,,,,,174.1207146,-3.4828286,18.78,15.155,18.0887,,,,,,0.57303573,,,3.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANDIDATE,EPIC 201231940.01,EPIC 201231940
